,x,y,emoji
0,-16.432280911316607,-11.655204119968262,#️⃣
1,2.783299738366465,3.7620427248671353,*⃣
2,-9.834160060429232,-11.365408308657038,0️⃣
3,-13.881243696080126,-12.264970962039172,1⃣️
4,-14.26471845969821,-11.118629372672515,1️⃣
5,-15.626042838967681,-2.911037537342035,2⃣️
6,-14.82556426415321,-11.658774308659918,2️⃣
7,-16.53777526422968,-8.228392877241642,3⃣️
8,-17.649038504268596,-7.614346149463951,3️⃣
9,-16.52737891328592,-9.315760530750083,4⃣️
10,-14.410573346906812,-11.169362741858574,4️⃣
11,-7.209466834625029,14.271186680241993,5⃣️
12,-14.632558382418832,-0.4183393232780839,5️⃣
13,-7.015392233966159,-6.030202996201624,6⃣️
14,-14.286437058066124,-9.894639928314966,6️⃣
15,-17.031786991841685,-9.394369277665465,7⃣️
16,-16.458581767143514,-9.211785614250017,7️⃣
17,13.931373275939784,-2.4847973474307503,8️⃣
18,-8.41549697437585,1.499347377733816,9⃣️
19,-16.047817387608003,-11.140396240331695,9️⃣
20,-13.600039986928397,-0.08489528182439522,©️
21,-10.571222606555299,-2.447323436436307,®️
22,-1.1703824557538338,-13.69196247024601,‍
23,-16.29231762848404,13.441323055607102,‼️
24,-18.255430790089147,-3.301551879737468,⁉️
25,-14.586558472995842,-10.53881210234824,™️
26,-8.946014731963553,-14.197314703768498,ℹ️
27,-13.806967852647242,-8.283553029295598,↔️
28,-6.904080309680437,-8.666719323341935,↕️
29,-12.643025910042974,-11.347064466583683,↖️
30,-16.14455167404224,-8.768279208989807,↗️
31,-13.016923756097679,-11.327072961057443,↘️
32,-13.085892521576215,-12.490881837108184,↙️
33,0.807667810845309,12.89215694829593,↩️
34,-15.291240522070554,5.151748004917198,↪️
35,-12.372284183308048,-10.504483124224066,⌚
36,-8.475612788739298,-13.284553972451993,⌚️
37,5.620009561290581,14.748858634247698,⌛
38,5.213380232878712,-6.374275733423399,⌛️
39,1.0048629132737703,-2.314366193085226,⌨
40,-11.114216010738248,-10.877391620146888,⏏
41,-7.342716353393689,-8.791947377248034,⏩
42,-8.359399790180186,-1.7444006235102703,⏪
43,1.767355003210757,-5.523353361048407,⏰
44,-15.38164270103383,-1.5475236768527822,⏱
45,5.5010024413801615,-12.423093837376419,⏲
46,5.034920997671772,-6.665603534318893,⏳
47,-4.6704755722530304,-11.252790316828971,⏸
48,-8.33203574043618,2.5027089231876567,⏹
49,-16.9789354252229,-8.870086436080477,⏺
50,-22.271111563977907,-2.197515074116798,Ⓜ️
51,-18.15992132378027,-8.534563738640317,▪️
52,-18.107520655846063,-8.601980252528902,▫️
53,-12.317769166870724,-12.212316460682459,▶️
54,-7.842800721444087,-9.902672527018492,◀️
55,-17.848668500950225,-9.181809111535037,◻️
56,-18.610880269441658,-1.459042036355996,◼️
57,-16.547818983250334,5.9188268734253455,◽
58,-15.710811202305957,-8.752233036884103,◽️
59,-16.1481286046397,5.45728513571222,◾
60,-15.999574645380866,-7.06623757454985,◾️
61,-7.455222954161008,5.5618561798031,☀️
62,-9.16161534502996,-9.101623340256289,☁️
63,-11.180716684700105,9.656455677389918,☂
64,7.951193160550976,-3.9239319886051534,☃
65,3.966725009374228,-8.060219170947777,☄
66,-13.289281354287661,-13.000464594119881,☎️
67,-6.740384144187876,-12.36149941411984,☑️
68,-7.400762807592494,5.906722439239634,☔
69,-11.815420386507602,-11.109684729854736,☔️
70,12.560865602893958,1.8499272275362404,☕
71,-3.0734155299796613,-13.153154372499191,☕️
72,9.617945032057296,5.971720189156059,☘
73,-13.760161052991752,12.029768380117206,☝️
74,-11.980193595973274,11.343520785111343,☠
75,-12.167885938991622,1.0390195279043732,☢
76,-12.894560151521343,0.18526863327206802,☣
77,-9.759939050251155,-11.542357586413294,☦
78,-4.6547098343046365,-10.575778984141655,☪
79,-10.365856321725404,-2.3463519738842766,☮
80,1.1131628929681046,-8.12942881967897,☯
81,6.890005632685336,12.370608003904584,☸
82,1.4151137137682595,15.246399142580968,☹
83,-3.736273696165369,15.60218059830066,☺️
84,-7.936476396499704,0.09327061201797075,♈
85,1.1819266959972425,4.1968000221397945,♈️
86,2.472740282122351,4.660510404423458,♉
87,0.8799583290468286,4.380711007253881,♉️
88,0.7153560721371995,5.367871615814437,♊
89,0.428982978171042,5.196700179200698,♊️
90,0.11657253335304209,3.6773082495590077,♋
91,0.08469446138277364,3.6122807974852016,♋️
92,0.39931436567957224,4.946235110453293,♌
93,1.0526182184104063,5.599418563983345,♌️
94,1.147168049271385,4.650117182941755,♍
95,-9.574524451103146,-3.7082338175783356,♍️
96,1.6127193058157185,3.7417272788804907,♎
97,1.7099721100207292,3.5763386773494306,♎️
98,1.5475899196287657,5.9777064208514075,♏
99,1.1240789486234029,5.224234024969585,♏️
100,2.080839434664363,4.7394764092396375,♐
101,0.7206215823612016,4.703255728932188,♐️
102,-1.9333953412563516,-3.5447141619736393,♑
103,0.7520514458698799,5.3141815790712,♑️
104,1.958823645544235,4.390415650009681,♒
105,1.2168759670145997,3.872632500372709,♒️
106,0.07376909658064917,3.644524525964675,♓
107,-0.054580496261548775,3.5748822655315493,♓️
108,-11.961082655986468,-7.683973543922204,♠️
109,7.149356299570941,2.3537634813018946,♣️
110,-14.513322400085457,-6.370059710172957,♥️
111,-11.184641668753061,8.394095788021474,♦️
112,10.21666254423234,-3.5110349186956866,♨️
113,-14.86296249540994,-9.856326441761233,♻️
114,1.2656586836659953,1.564460698287729,♿
115,-7.938151349058628,13.701346601331943,♿️
116,-13.972862398806937,-9.34190819245847,⚒
117,0.12621099248998027,-6.061367834399868,⚓
